sample_id,job,status,reason,Fcm_MPa,c_nom_bottom_mm,c_nom_top_mm,E_MPa,seed,present_ld,present_damage,n_points,n_points_finite,t_final,t_frac_of_target,reached_full_step,U2_max_abs,U2_final,peak_RF2,U2_at_peak,n_points_after_peak,RF2_final,postpeak_drop_frac_max,postpeak_drop_frac_final,softening_captured,k0_N_per_mm,n_pts_for_k0,damage_final,damage_max,damage_U2_at_half_max,damage_at_U2_10mm,damage_monotone,damage_n_points,damage_t_final,n_nan,n_dup_time,n_dup_rows_exact,time_monotone,U2_monotone,damage_n_nan
253,sample_253,valid,reached t=1.000 (>=95% of target); softening captured,28.82809811509292,30.65136608828695,227.11285258863455,30225.08133908169,42,True,True,6391.0,6391.0,1.0,1.0,True,20.0,20.0,43019.8203125,12.444757461547852,1718.0,18568.880859375,0.7188229190142552,0.5683645183896885,True,12668.98200770904,215.0,0.9470000267028807,0.9470000267028807,9.102688789367676,0.7682913991136345,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
254,sample_254,valid,reached t=1.000 (>=95% of target); softening captured,24.869120797649245,24.603096030139668,225.91722244448505,28914.841124940176,42,True,True,9936.0,9936.0,1.0,1.0,True,20.0,20.0,35761.6484375,9.990345001220703,6065.0,27567.7421875,0.24124990087364453,0.22912551876126025,True,13545.529185607827,137.0,0.9470000267028807,0.9470000267028807,8.300538063049316,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
255,sample_255,missing,no rows in load_displacement_full.csv,31.32524477914394,29.60100218914313,217.81615560372987,30987.81987253198,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,sample_256,missing,no rows in load_displacement_full.csv,24.74508335375992,29.75697032305436,217.0467600736565,28871.50061087329,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,sample_257,valid,reached t=1.000 (>=95% of target); softening captured,28.47201744107527,19.46788404143691,229.07655921502948,30112.59291985758,42,True,True,10476.0,10476.0,1.0,1.0,True,20.0,20.0,40498.921875,9.520672798156738,7256.0,30012.193359375,0.35553873733521457,0.25893846132478066,True,14514.052905441502,114.0,0.9470000267028807,0.9470000267028807,9.800043106079102,0.5459167682032289,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
258,sample_258,valid,reached t=1.000 (>=95% of target); softening captured,27.70457329952499,30.93825316828353,228.654518861056,29866.760577672685,42,True,True,8481.0,8481.0,1.0,1.0,True,20.0,20.0,36532.19921875,9.109889030456545,4995.0,20726.4140625,0.7150210650001289,0.4326535356277633,True,13943.277098799746,135.0,0.9470000267028807,0.9470000267028807,9.103715896606444,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
259,sample_259,missing,no rows in load_displacement_full.csv,30.793070812064173,30.021437572517343,219.3117119884421,30828.9391848504,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,sample_260,valid,reached t=1.000 (>=95% of target); softening captured,29.523315534736888,28.596571905379456,225.32262056912128,30441.932543310988,42,True,True,6852.0,6852.0,1.0,1.0,True,20.0,20.0,39838.5859375,9.247920989990234,3925.0,20516.6328125,0.730328798497217,0.48500599783619014,True,14901.478360066883,97.0,0.9470000267028807,0.9470000267028807,9.400981903076172,0.6913834638970275,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
261,sample_261,valid,reached t=1.000 (>=95% of target); softening captured,24.27329116097968,30.0777984827438,216.9095835029856,28705.24648645776,42,True,True,14347.0,14347.0,1.0,1.0,True,20.0,20.0,32355.42578125,11.894502639770508,7778.0,23105.861328125,0.2858736743463018,0.2858736743463018,True,11461.276904309541,241.0,0.9470000267028807,0.9470000267028807,7.702046871185303,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
262,sample_262,missing,no rows in load_displacement_full.csv,31.580215715314058,25.505676349979,224.01588897671732,31063.27264182318,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
